receipt_id,date,hour,total_items,total_amount,source
REC-20250224105950-9F9BA5,2025-02-24,10:00,2,7.50,SIMULATED
REC-20250224104245-0A6C20,2025-02-24,10:00,1,4.50,SIMULATED
REC-20250224100337-C72F40,2025-02-24,10:00,2,8.00,SIMULATED
REC-20250224115854-2F4726,2025-02-24,11:00,1,4.50,SIMULATED
REC-20250224115411-43A6E8,2025-02-24,11:00,1,4.50,SIMULATED
REC-20250224112507-931269,2025-02-24,11:00,3,14.00,SIMULATED
REC-20250224112059-4DA4DC,2025-02-24,11:00,1,5.00,SIMULATED
REC-20250224111625-5DFC0E,2025-02-24,11:00,1,5.50,SIMULATED
REC-20250224115948-6A1F62,2025-02-24,11:00,3,13.50,SIMULATED
REC-20250224120859-802106,2025-02-24,12:00,1,4.50,SIMULATED
REC-20250224121810-F5595B,2025-02-24,12:00,1,4.00,SIMULATED
REC-20250224125141-A2BCCC,2025-02-24,12:00,1,5.00,SIMULATED
REC-20250224135942-87BB9E,2025-02-24,13:00,1,4.00,SIMULATED
REC-20250224135606-E429CD,2025-02-24,13:00,2,8.00,SIMULATED
REC-20250224134340-191B9E,2025-02-24,13:00,3,12.50,SIMULATED
REC-20250224134027-D613E5,2025-02-24,13:00,3,11.50,SIMULATED
REC-20250224131047-63D17A,2025-02-24,13:00,1,4.50,SIMULATED
REC-20250224130704-F8EDFA,2025-02-24,13:00,3,13.00,SIMULATED
REC-20250224130219-92402D,2025-02-24,13:00,2,9.00,SIMULATED
REC-20250224130257-5B8099,2025-02-24,13:00,1,4.00,SIMULATED
REC-20250224132249-1E50E9,2025-02-24,13:00,2,8.00,SIMULATED
REC-20250224134709-252B51,2025-02-24,13:00,2,9.00,SIMULATED
REC-20250224142601-7E5576,2025-02-24,14:00,1,4.50,SIMULATED
REC-20250224142651-C10C40,2025-02-24,14:00,2,9.00,SIMULATED
REC-20250224142455-234FD6,2025-02-24,14:00,1,3.50,SIMULATED
REC-20250224145829-929C55,2025-02-24,14:00,1,3.50,SIMULATED
REC-20250224141401-368A2E,2025-02-24,14:00,2,6.00,SIMULATED
REC-20250224142241-7772C3,2025-02-24,14:00,1,4.00,SIMULATED
REC-20250224142101-8FE5E2,2025-02-24,14:00,1,5.00,SIMULATED
REC-20250224141602-F7525C,2025-02-24,14:00,1,3.50,SIMULATED
REC-20250224142027-F396D9,2025-02-24,14:00,1,4.00,SIMULATED
REC-20250224153612-80AF92,2025-02-24,15:00,1,4.50,SIMULATED
REC-20250224155951-267B36,2025-02-24,15:00,1,4.50,SIMULATED
REC-20250224154212-EB9A4F,2025-02-24,15:00,1,4.50,SIMULATED
REC-20250224152139-5D9CB4,2025-02-24,15:00,1,3.50,SIMULATED
REC-20250224151932-FBF139,2025-02-24,15:00,1,2.50,SIMULATED
REC-20250224151835-929C0F,2025-02-24,15:00,2,6.00,SIMULATED
REC-20250224164347-475854,2025-02-24,16:00,2,8.00,SIMULATED
REC-20250224161813-FF5649,2025-02-24,16:00,1,5.00,SIMULATED
REC-20250224162928-0E12FB,2025-02-24,16:00,1,4.50,SIMULATED
REC-20250224165750-EE8B11,2025-02-24,16:00,2,8.50,SIMULATED
REC-20250224160552-D9C9B7,2025-02-24,16:00,4,15.00,SIMULATED
REC-20250224173954-86D94F,2025-02-24,17:00,2,7.50,SIMULATED
REC-20250224172431-EE4A28,2025-02-24,17:00,1,4.50,SIMULATED
REC-20250224175748-4B8162,2025-02-24,17:00,2,7.50,SIMULATED
REC-20250224174433-C5A652,2025-02-24,17:00,2,9.00,SIMULATED
REC-20250224170729-BCB6FD,2025-02-24,17:00,1,3.50,SIMULATED
REC-20250225073736-8F3D38,2025-02-25,07:00,2,7.50,SIMULATED
REC-20250225081624-2B3423,2025-02-25,08:00,1,3.50,SIMULATED
REC-20250225085624-A799CA,2025-02-25,08:00,1,5.50,SIMULATED
REC-20250225085305-3CCA16,2025-02-25,08:00,1,4.00,SIMULATED
REC-20250225082214-7DFC9A,2025-02-25,08:00,3,13.50,SIMULATED
REC-20250225081253-F82EBA,2025-02-25,08:00,1,4.50,SIMULATED
REC-20250225094207-F37C75,2025-02-25,09:00,1,4.50,SIMULATED
REC-20250225094923-97D2DE,2025-02-25,09:00,1,4.50,SIMULATED
REC-20250225090749-243C14,2025-02-25,09:00,2,10.50,SIMULATED
REC-20250225104358-CB095E,2025-02-25,10:00,3,11.50,SIMULATED
REC-20250225104919-4DC46E,2025-02-25,10:00,3,13.50,SIMULATED
REC-20250225102234-D04F60,2025-02-25,10:00,1,3.50,SIMULATED
REC-20250225102100-03435E,2025-02-25,10:00,3,11.50,SIMULATED
REC-20250225105329-651271,2025-02-25,10:00,3,11.50,SIMULATED
REC-20250225105158-AA02FE,2025-02-25,10:00,1,4.00,SIMULATED
REC-20250225114637-AF79AA,2025-02-25,11:00,1,4.00,SIMULATED
REC-20250225110517-65F821,2025-02-25,11:00,2,8.00,SIMULATED
REC-20250225110131-65C4F8,2025-02-25,11:00,2,9.00,SIMULATED
REC-20250225115638-0479A3,2025-02-25,11:00,3,11.50,SIMULATED
REC-20250225124626-9C6C33,2025-02-25,12:00,1,4.00,SIMULATED
REC-20250225124145-61C200,2025-02-25,12:00,1,3.50,SIMULATED
REC-20250225121425-041E79,2025-02-25,12:00,2,8.50,SIMULATED
REC-20250225122747-257FA6,2025-02-25,12:00,1,3.50,SIMULATED
REC-20250225121916-510204,2025-02-25,12:00,1,4.50,SIMULATED
REC-20250225124734-13810E,2025-02-25,12:00,3,13.00,SIMULATED
REC-20250225123818-C833A4,2025-02-25,12:00,3,10.50,SIMULATED
REC-20250225120203-71B159,2025-02-25,12:00,1,4.50,SIMULATED
REC-20250225125548-1598E2,2025-02-25,12:00,1,4.00,SIMULATED
REC-20250225123030-6EFDFE,2025-02-25,12:00,1,4.50,SIMULATED
REC-20250225125530-1EC86C,2025-02-25,12:00,1,4.50,SIMULATED
REC-20250225123640-C5C6E2,2025-02-25,12:00,3,12.50,SIMULATED
REC-20250225121507-D4ABC1,2025-02-25,12:00,1,3.00,SIMULATED
REC-20250225133914-81899B,2025-02-25,13:00,2,7.50,SIMULATED
REC-20250225142719-B298FF,2025-02-25,14:00,2,9.00,SIMULATED
REC-20250225140648-722676,2025-02-25,14:00,1,4.50,SIMULATED
REC-20250225141015-051B8F,2025-02-25,14:00,1,4.50,SIMULATED
REC-20250225152844-1591C8,2025-02-25,15:00,1,3.50,SIMULATED
REC-20250225154518-9D8DF9,2025-02-25,15:00,3,11.00,SIMULATED
REC-20250225154037-E5BA5C,2025-02-25,15:00,2,7.50,SIMULATED
REC-20250225155817-F900DF,2025-02-25,15:00,2,9.00,SIMULATED
REC-20250225153658-77C1C7,2025-02-25,15:00,1,4.50,SIMULATED
REC-20250225154425-3E4DA0,2025-02-25,15:00,3,12.50,SIMULATED
REC-20250225151601-EC04C0,2025-02-25,15:00,1,6.00,SIMULATED
REC-20250225153637-FB96E6,2025-02-25,15:00,3,14.00,SIMULATED
REC-20250225154128-90AF31,2025-02-25,15:00,2,9.50,SIMULATED
REC-20250225150530-7D3CEB,2025-02-25,15:00,1,3.50,SIMULATED
REC-20250225155410-8C57CB,2025-02-25,15:00,1,4.00,SIMULATED
REC-20250225152552-511A44,2025-02-25,15:00,2,9.00,SIMULATED
REC-20250225164925-A7D67F,2025-02-25,16:00,2,8.00,SIMULATED
REC-20250225160312-ADBA29,2025-02-25,16:00,1,4.50,SIMULATED
REC-20250225162848-F1B7BC,2025-02-25,16:00,1,3.50,SIMULATED
REC-20250225161828-C2173F,2025-02-25,16:00,2,8.50,SIMULATED
REC-20250225164510-239E86,2025-02-25,16:00,1,4.50,SIMULATED
REC-20250225161453-D68F2C,2025-02-25,16:00,2,8.00,SIMULATED
REC-20250225164518-412987,2025-02-25,16:00,1,3.50,SIMULATED
REC-20250225163015-C1737D,2025-02-25,16:00,1,4.50,SIMULATED
REC-20250225163832-4C8A2A,2025-02-25,16:00,2,9.00,SIMULATED
REC-20250225172159-FFB5E5,2025-02-25,17:00,2,8.00,SIMULATED
REC-20250225173742-4F33E1,2025-02-25,17:00,1,4.50,SIMULATED
REC-20250225172221-FC4122,2025-02-25,17:00,1,4.00,SIMULATED
REC-20250226072327-E0F984,2025-02-26,07:00,1,4.00,SIMULATED
REC-20250226075011-A8FB91,2025-02-26,07:00,1,4.50,SIMULATED
REC-20250226073943-F36016,2025-02-26,07:00,1,4.00,SIMULATED
REC-20250226072940-5B8C8A,2025-02-26,07:00,1,4.50,SIMULATED
REC-20250226085129-4E4A15,2025-02-26,08:00,2,8.50,SIMULATED
REC-20250226083719-DE5DCE,2025-02-26,08:00,1,3.00,SIMULATED
REC-20250226085419-325A71,2025-02-26,08:00,1,3.50,SIMULATED
REC-20250226091524-424CA7,2025-02-26,09:00,2,10.00,SIMULATED
REC-20250226091801-3373A1,2025-02-26,09:00,3,13.00,SIMULATED
REC-20250226103847-859509,2025-02-26,10:00,1,4.00,SIMULATED
REC-20250226105114-4AA80D,2025-02-26,10:00,1,3.50,SIMULATED
REC-20250226113916-C3BFF4,2025-02-26,11:00,2,9.50,SIMULATED
REC-20250226115740-60FB0E,2025-02-26,11:00,1,3.50,SIMULATED
REC-20250226113723-CE6521,2025-02-26,11:00,2,8.00,SIMULATED
REC-20250226120850-8F90A1,2025-02-26,12:00,1,5.00,SIMULATED
REC-20250226125817-E8BA0F,2025-02-26,12:00,2,8.00,SIMULATED
REC-20250226124755-B5D5E4,2025-02-26,12:00,2,9.00,SIMULATED
REC-20250226120948-9CDC8C,2025-02-26,12:00,4,17.50,SIMULATED
REC-20250226125025-C00EED,2025-02-26,12:00,1,4.00,SIMULATED
REC-20250226124347-5E141B,2025-02-26,12:00,3,13.50,SIMULATED
REC-20250226121430-15C76A,2025-02-26,12:00,1,4.00,SIMULATED
REC-20250226125839-DCECE3,2025-02-26,12:00,1,4.50,SIMULATED
REC-20250226125844-391C4D,2025-02-26,12:00,1,2.50,SIMULATED
REC-20250226130219-220854,2025-02-26,13:00,4,17.00,SIMULATED
REC-20250226134434-16A901,2025-02-26,13:00,1,4.00,SIMULATED
REC-20250226132641-ABED9B,2025-02-26,13:00,1,4.00,SIMULATED
REC-20250226131702-88BA67,2025-02-26,13:00,2,8.00,SIMULATED
REC-20250226144323-A2B0C4,2025-02-26,14:00,1,5.00,SIMULATED
REC-20250226142517-118107,2025-02-26,14:00,1,4.50,SIMULATED
REC-20250226142905-51DAF2,2025-02-26,14:00,2,10.50,SIMULATED
REC-20250226141508-CBBEB4,2025-02-26,14:00,2,8.00,SIMULATED
REC-20250226145255-B47AD7,2025-02-26,14:00,1,3.50,SIMULATED
REC-20250226143800-C2549A,2025-02-26,14:00,2,10.00,SIMULATED
REC-20250226143416-8231D6,2025-02-26,14:00,2,8.50,SIMULATED
REC-20250226145015-9C19EB,2025-02-26,14:00,1,4.50,SIMULATED
REC-20250226140847-D408CD,2025-02-26,14:00,1,4.50,SIMULATED
REC-20250226152849-E9CF4F,2025-02-26,15:00,1,5.00,SIMULATED
REC-20250226151439-9E245A,2025-02-26,15:00,1,3.50,SIMULATED
REC-20250226153319-4912D0,2025-02-26,15:00,1,6.00,SIMULATED
REC-20250226153054-21C4D4,2025-02-26,15:00,1,4.00,SIMULATED
REC-20250226155828-FA73E9,2025-02-26,15:00,1,4.50,SIMULATED
REC-20250226150408-E1299B,2025-02-26,15:00,1,5.50,SIMULATED
REC-20250226152024-64A526,2025-02-26,15:00,3,12.00,SIMULATED
REC-20250226164156-E81269,2025-02-26,16:00,2,9.00,SIMULATED
REC-20250226162152-AC684C,2025-02-26,16:00,1,3.00,SIMULATED
REC-20250226162720-EC8A2E,2025-02-26,16:00,3,11.50,SIMULATED
REC-20250226165305-D3D5A9,2025-02-26,16:00,1,4.50,SIMULATED
REC-20250226165108-34CA16,2025-02-26,16:00,1,5.00,SIMULATED
REC-20250226162142-ACA1BF,2025-02-26,16:00,1,3.50,SIMULATED
REC-20250226164827-6B274E,2025-02-26,16:00,2,9.50,SIMULATED
REC-20250226163632-24B3A0,2025-02-26,16:00,1,5.00,SIMULATED
REC-20250226160622-3A1DA2,2025-02-26,16:00,2,7.00,SIMULATED
REC-20250226175435-E992B2,2025-02-26,17:00,4,18.00,SIMULATED
REC-20250226171701-76149F,2025-02-26,17:00,1,4.50,SIMULATED
REC-20250226172122-9ED8F4,2025-02-26,17:00,1,4.00,SIMULATED
REC-20250227075406-790E03,2025-02-27,07:00,1,5.00,SIMULATED
REC-20250227072555-CB4984,2025-02-27,07:00,1,3.50,SIMULATED
REC-20250227071004-F9A613,2025-02-27,07:00,1,4.50,SIMULATED
REC-20250227075749-7DE66C,2025-02-27,07:00,1,4.50,SIMULATED
REC-20250227075209-890E44,2025-02-27,07:00,1,4.50,SIMULATED
REC-20250227073809-7A375C,2025-02-27,07:00,2,9.50,SIMULATED
REC-20250227074836-783136,2025-02-27,07:00,2,8.00,SIMULATED
REC-20250227073920-49363A,2025-02-27,07:00,2,10.00,SIMULATED
REC-20250227081950-EA2421,2025-02-27,08:00,1,4.50,SIMULATED
REC-20250227081929-1682CB,2025-02-27,08:00,1,4.50,SIMULATED
REC-20250227080441-957640,2025-02-27,08:00,2,8.50,SIMULATED
REC-20250227083550-C58626,2025-02-27,08:00,2,8.50,SIMULATED
REC-20250227083830-970A61,2025-02-27,08:00,1,6.00,SIMULATED
REC-20250227085157-68E444,2025-02-27,08:00,2,9.50,SIMULATED
REC-20250227084528-01AADE,2025-02-27,08:00,4,16.00,SIMULATED
REC-20250227084338-844D84,2025-02-27,08:00,1,5.50,SIMULATED
REC-20250227092106-E87A74,2025-02-27,09:00,1,3.50,SIMULATED
REC-20250227095442-2D3919,2025-02-27,09:00,4,18.00,SIMULATED
REC-20250227094144-4499AF,2025-02-27,09:00,2,9.00,SIMULATED
REC-20250227094150-A938E8,2025-02-27,09:00,1,4.50,SIMULATED
REC-20250227104743-522C5D,2025-02-27,10:00,2,9.50,SIMULATED
REC-20250227101911-6C19BF,2025-02-27,10:00,4,15.00,SIMULATED
REC-20250227105006-12048B,2025-02-27,10:00,1,4.00,SIMULATED
REC-20250227103302-CB5D2D,2025-02-27,10:00,2,8.50,SIMULATED
REC-20250227101153-4BF1EA,2025-02-27,10:00,2,9.50,SIMULATED
REC-20250227102343-8ED0D0,2025-02-27,10:00,2,9.50,SIMULATED
REC-20250227111434-1AD201,2025-02-27,11:00,1,6.00,SIMULATED
REC-20250227115753-1ED574,2025-02-27,11:00,1,4.00,SIMULATED
REC-20250227112829-86A4EF,2025-02-27,11:00,2,7.50,SIMULATED
REC-20250227111251-A17BFC,2025-02-27,11:00,1,4.00,SIMULATED
REC-20250227123055-331073,2025-02-27,12:00,1,4.50,SIMULATED
REC-20250227123354-30F37B,2025-02-27,12:00,1,4.50,SIMULATED
REC-20250227122857-6AA9C3,2025-02-27,12:00,1,3.50,SIMULATED
REC-20250227125814-4E65BE,2025-02-27,12:00,2,8.50,SIMULATED
REC-20250227122315-649719,2025-02-27,12:00,1,4.50,SIMULATED
REC-20250227122059-E1B41C,2025-02-27,12:00,1,4.50,SIMULATED
REC-20250227120908-1CB0B3,2025-02-27,12:00,1,4.50,SIMULATED
REC-20250227135308-D74789,2025-02-27,13:00,3,11.50,SIMULATED
REC-20250227131353-66E0FD,2025-02-27,13:00,1,4.50,SIMULATED
REC-20250227132707-18B6F1,2025-02-27,13:00,2,9.00,SIMULATED
REC-20250227133929-E1AB1A,2025-02-27,13:00,1,3.50,SIMULATED
REC-20250227133401-3665B5,2025-02-27,13:00,1,5.00,SIMULATED
REC-20250227131827-AFA867,2025-02-27,13:00,1,3.50,SIMULATED
REC-20250227131142-C1A4A5,2025-02-27,13:00,3,11.50,SIMULATED
REC-20250227145032-DE3A43,2025-02-27,14:00,1,2.50,SIMULATED
REC-20250227144024-06D31D,2025-02-27,14:00,3,12.50,SIMULATED
REC-20250227144937-5486B9,2025-02-27,14:00,2,8.00,SIMULATED
REC-20250227141153-064730,2025-02-27,14:00,2,7.50,SIMULATED
REC-20250227140445-F27751,2025-02-27,14:00,2,7.00,SIMULATED
REC-20250227140220-78017C,2025-02-27,14:00,3,13.00,SIMULATED
REC-20250227142255-F672C6,2025-02-27,14:00,2,7.50,SIMULATED
REC-20250227155625-36C43C,2025-02-27,15:00,3,11.50,SIMULATED
REC-20250227153123-6E4CDB,2025-02-27,15:00,2,7.50,SIMULATED
REC-20250227153852-07CED0,2025-02-27,15:00,1,3.50,SIMULATED
REC-20250227152042-B30C75,2025-02-27,15:00,1,3.50,SIMULATED
REC-20250227151044-CCAC8B,2025-02-27,15:00,1,3.50,SIMULATED
REC-20250227155822-5C9262,2025-02-27,15:00,1,3.50,SIMULATED
REC-20250227155003-A449B5,2025-02-27,15:00,1,5.50,SIMULATED
REC-20250227155147-B003F8,2025-02-27,15:00,2,10.00,SIMULATED
REC-20250227160208-CD7BC6,2025-02-27,16:00,1,3.50,SIMULATED
REC-20250227162436-796D06,2025-02-27,16:00,1,4.50,SIMULATED
REC-20250227162323-DB8CA9,2025-02-27,16:00,1,4.50,SIMULATED
REC-20250227162325-7D1B22,2025-02-27,16:00,2,7.00,SIMULATED
REC-20250228085945-B7A8B8,2025-02-28,08:00,1,5.50,SIMULATED
REC-20250228081854-CF0C00,2025-02-28,08:00,2,9.00,SIMULATED
REC-20250228081708-9C5ED8,2025-02-28,08:00,1,4.50,SIMULATED
REC-20250228084110-F3F292,2025-02-28,08:00,1,5.00,SIMULATED
REC-20250228083946-2F0C19,2025-02-28,08:00,2,8.00,SIMULATED
REC-20250228080502-4444FB,2025-02-28,08:00,3,11.50,SIMULATED
REC-20250228085640-9FB284,2025-02-28,08:00,1,5.50,SIMULATED
REC-20250228081551-944F57,2025-02-28,08:00,2,6.00,SIMULATED
REC-20250228082630-9ED51F,2025-02-28,08:00,1,3.50,SIMULATED
REC-20250228085545-9E181F,2025-02-28,08:00,1,5.00,SIMULATED
REC-20250228082508-5A83A4,2025-02-28,08:00,2,8.50,SIMULATED
REC-20250228092815-70F399,2025-02-28,09:00,2,9.00,SIMULATED
REC-20250228095539-DAE435,2025-02-28,09:00,2,12.00,SIMULATED
REC-20250228095220-6F3CC2,2025-02-28,09:00,4,18.00,SIMULATED
REC-20250228093101-DA1BDA,2025-02-28,09:00,1,2.50,SIMULATED
REC-20250228091513-EA1754,2025-02-28,09:00,1,4.50,SIMULATED
REC-20250228093856-14B043,2025-02-28,09:00,2,8.50,SIMULATED
REC-20250228090856-4EA8BC,2025-02-28,09:00,1,3.50,SIMULATED
REC-20250228100225-A019EF,2025-02-28,10:00,1,4.50,SIMULATED
REC-20250228101804-F0C3AC,2025-02-28,10:00,1,3.50,SIMULATED
REC-20250228105239-389062,2025-02-28,10:00,2,9.50,SIMULATED
REC-20250228102135-50DD03,2025-02-28,10:00,3,12.50,SIMULATED
REC-20250228112151-DA6006,2025-02-28,11:00,1,3.50,SIMULATED
REC-20250228113208-AC1860,2025-02-28,11:00,1,4.50,SIMULATED
REC-20250228113947-134395,2025-02-28,11:00,2,9.00,SIMULATED
REC-20250228123619-286BF0,2025-02-28,12:00,1,4.50,SIMULATED
REC-20250228120726-F5952A,2025-02-28,12:00,1,3.50,SIMULATED
REC-20250228124440-B4D444,2025-02-28,12:00,2,7.00,SIMULATED
REC-20250228125049-10100B,2025-02-28,12:00,1,4.50,SIMULATED
REC-20250228123010-B64EC6,2025-02-28,12:00,1,4.50,SIMULATED
REC-20250228122409-39ECE2,2025-02-28,12:00,2,9.50,SIMULATED
REC-20250228122820-449B23,2025-02-28,12:00,1,3.00,SIMULATED
REC-20250228123249-98186A,2025-02-28,12:00,1,3.50,SIMULATED
REC-20250228124603-4A59B2,2025-02-28,12:00,3,12.50,SIMULATED
REC-20250228122420-801C62,2025-02-28,12:00,3,12.00,SIMULATED
REC-20250228135144-ED9D44,2025-02-28,13:00,2,8.00,SIMULATED
REC-20250228131735-47E143,2025-02-28,13:00,2,9.00,SIMULATED
REC-20250228134918-3C9020,2025-02-28,13:00,2,8.00,SIMULATED
REC-20250228135950-900522,2025-02-28,13:00,2,8.50,SIMULATED
REC-20250228132552-774E93,2025-02-28,13:00,1,3.50,SIMULATED
REC-20250228130218-BC44BD,2025-02-28,13:00,3,14.00,SIMULATED
REC-20250228141759-44755B,2025-02-28,14:00,1,3.50,SIMULATED
REC-20250228144737-ABD737,2025-02-28,14:00,2,9.00,SIMULATED
REC-20250228141440-30E06F,2025-02-28,14:00,1,4.50,SIMULATED
REC-20250228143006-24BE32,2025-02-28,14:00,3,15.00,SIMULATED
REC-20250228144159-BB1366,2025-02-28,14:00,2,8.50,SIMULATED
REC-20250228141841-F75004,2025-02-28,14:00,1,3.50,SIMULATED
REC-20250228141434-FAE55E,2025-02-28,14:00,3,12.50,SIMULATED
REC-20250228145311-31F3C0,2025-02-28,14:00,3,11.50,SIMULATED
REC-20250228151856-99A7AB,2025-02-28,15:00,1,3.50,SIMULATED
REC-20250228155921-26EB69,2025-02-28,15:00,1,5.00,SIMULATED
REC-20250228153156-876723,2025-02-28,15:00,3,12.00,SIMULATED
REC-20250228151645-427B3A,2025-02-28,15:00,1,4.50,SIMULATED
REC-20250228153643-7876CA,2025-02-28,15:00,2,8.50,SIMULATED
REC-20250228153220-87098C,2025-02-28,15:00,1,5.00,SIMULATED
REC-20250228160830-ABB5F7,2025-02-28,16:00,1,4.50,SIMULATED
REC-20250228161528-415431,2025-02-28,16:00,2,9.00,SIMULATED
REC-20250228164123-AC7DDA,2025-02-28,16:00,2,9.00,SIMULATED
REC-20250228173259-001F8E,2025-02-28,17:00,3,11.50,SIMULATED
REC-20250228171823-208189,2025-02-28,17:00,1,4.50,SIMULATED
REC-20250228170929-EC304D,2025-02-28,17:00,2,7.50,SIMULATED
REC-20250228173451-BB0B87,2025-02-28,17:00,2,9.00,SIMULATED
REC-20250228170533-C50AA2,2025-02-28,17:00,1,4.50,SIMULATED
REC-20250228173607-906F34,2025-02-28,17:00,1,4.50,SIMULATED
REC-20250301074702-58413B,2025-03-01,07:00,1,4.50,SIMULATED
REC-20250301075549-1002B3,2025-03-01,07:00,1,4.00,SIMULATED
REC-20250301075258-E6F668,2025-03-01,07:00,2,8.00,SIMULATED
REC-20250301071956-1511FE,2025-03-01,07:00,1,5.00,SIMULATED
REC-20250301071917-E8EB6F,2025-03-01,07:00,1,5.50,SIMULATED
REC-20250301075811-D2BD6D,2025-03-01,07:00,1,3.00,SIMULATED
REC-20250301072241-676B71,2025-03-01,07:00,2,7.00,SIMULATED
REC-20250301082411-EBBED6,2025-03-01,08:00,2,7.50,SIMULATED
REC-20250301085129-170BC1,2025-03-01,08:00,2,9.50,SIMULATED
REC-20250301081516-C74170,2025-03-01,08:00,2,11.00,SIMULATED
REC-20250301085423-268D92,2025-03-01,08:00,1,4.50,SIMULATED
REC-20250301081724-DC79DA,2025-03-01,08:00,2,8.50,SIMULATED
REC-20250301084642-5C9B49,2025-03-01,08:00,1,4.00,SIMULATED
REC-20250301082119-C173EB,2025-03-01,08:00,4,19.50,SIMULATED
REC-20250301081544-8F98ED,2025-03-01,08:00,2,9.00,SIMULATED
REC-20250301093520-F32EF2,2025-03-01,09:00,2,7.50,SIMULATED
REC-20250301093256-6A0E30,2025-03-01,09:00,2,9.00,SIMULATED
REC-20250301093048-48C3A5,2025-03-01,09:00,2,8.00,SIMULATED
REC-20250301091447-5A25A6,2025-03-01,09:00,2,7.00,SIMULATED
REC-20250301093746-428F41,2025-03-01,09:00,1,4.50,SIMULATED
REC-20250301102436-DADBCD,2025-03-01,10:00,2,9.00,SIMULATED
REC-20250301105231-944E2C,2025-03-01,10:00,3,14.00,SIMULATED
REC-20250301103111-C4BED8,2025-03-01,10:00,2,9.50,SIMULATED
REC-20250301115404-454462,2025-03-01,11:00,3,11.50,SIMULATED
REC-20250301110013-AFDF6D,2025-03-01,11:00,1,3.50,SIMULATED
REC-20250301114259-DCE775,2025-03-01,11:00,1,4.00,SIMULATED
REC-20250301110034-6B077A,2025-03-01,11:00,1,4.50,SIMULATED
REC-20250301111734-468B98,2025-03-01,11:00,4,16.50,SIMULATED
REC-20250301110633-56D0A2,2025-03-01,11:00,1,4.50,SIMULATED
REC-20250301125222-B78DB1,2025-03-01,12:00,1,2.50,SIMULATED
REC-20250301122529-479B78,2025-03-01,12:00,1,5.50,SIMULATED
REC-20250301124352-F2FD09,2025-03-01,12:00,2,9.00,SIMULATED
REC-20250301122424-454D19,2025-03-01,12:00,1,4.50,SIMULATED
REC-20250301121005-E4CBBB,2025-03-01,12:00,1,3.50,SIMULATED
REC-20250301123654-3FF49D,2025-03-01,12:00,4,17.00,SIMULATED
REC-20250301121702-79497D,2025-03-01,12:00,2,7.50,SIMULATED
REC-20250301121159-9607DF,2025-03-01,12:00,2,9.00,SIMULATED
REC-20250301125225-E0C546,2025-03-01,12:00,2,8.00,SIMULATED
REC-20250301124357-3ABBA5,2025-03-01,12:00,1,3.50,SIMULATED
REC-20250301125044-C4EFF0,2025-03-01,12:00,2,9.00,SIMULATED
REC-20250301125304-1E1F9D,2025-03-01,12:00,2,7.00,SIMULATED
REC-20250301122549-AF97AA,2025-03-01,12:00,1,5.50,SIMULATED
REC-20250301132831-79C77B,2025-03-01,13:00,1,4.50,SIMULATED
REC-20250301131143-782912,2025-03-01,13:00,1,3.50,SIMULATED
REC-20250301131851-24C1D8,2025-03-01,13:00,1,4.50,SIMULATED
REC-20250301132445-0DBBDF,2025-03-01,13:00,2,7.00,SIMULATED
REC-20250301141928-8C22B1,2025-03-01,14:00,1,3.50,SIMULATED
